Ticker, Code, Name
JNJ,GOOG/NYSE_JNJ,Johnson &amp; Johnson
PFE,GOOG/NYSE_PFE,Pfizer Inc.
GILD,GOOG/NASDAQ_GILD,Gilead Sciences
MRK,GOOG/NYSE_MRK,Merck &amp; Co.
AMGN,GOOG/NASDAQ_AMGN,Amgen
BMY,GOOG/NYSE_BMY,Bristol Myers Squibb Co.
ABBV,GOOG/NYSE_ABBV,AbbVie Inc
UNH,GOOG/NYSE_UNH,UnitedHealth Group Inc.
CELG,GOOG/NASDAQ_CELG,Celgene Corporation
BIIB,GOOG/NASDAQ_BIIB,Biogen Idec Inc.
MDT,GOOG/NYSE_MDT,Medtronic
LLY,GOOG/NYSE_LLY,Eli Lilly &amp; Co.
ABT,GOOG/NYSE_ABT,Abbott Laboratories
ACT,GOOG/NYSE_ACT,Actavis Inc
ESRX,GOOG/NASDAQ_ESRX,Express Scripts Holding Company
AGN,GOOG/NYSE_AGN,Allergan
TMO,GOOG/NYSE_TMO,Thermo Fisher Scientific Inc.
COV,GOOG/NYSE_COV,Covidien plc
ALXN,GOOG/NASDAQ_ALXN,Alexion Pharmaceuticals
BAX,GOOG/NYSE_BAX,Baxter International Inc.
WLP,GOOG/NYSE_WLP,WellPoint
REGN,GOOG/NASDAQ_REGN,Regeneron Pharmaceuticals Inc
AET,GOOG/NYSE_AET,Aetna Inc.
ILMN,GOOG/NASDAQ_ILMN,Illumina
VRTX,GOOG/NASDAQ_VRTX,Vertex Pharmaceuticals Incorporated
SYK,GOOG/NYSE_SYK,Stryker Corporation
CI,GOOG/NYSE_CI,CIGNA Corporation
BDX,GOOG/NYSE_BDX,Becton
PRGO,GOOG/NASDAQ_PRGO,Perrigo Company
HUM,GOOG/NYSE_HUM,Humana Inc
HCA,GOOG/NYSE_HCA,HCA Holdings Inc
MYL,GOOG/NASDAQ_MYL,Mylan Inc.
ZTS,GOOG/NYSE_ZTS,Zoetis Inc
ZMH,GOOG/NYSE_ZMH,Zimmer Holdings
STJ,GOOG/NYSE_STJ,St. Jude Medical
ISRG,GOOG/NASDAQ_ISRG,Intuitive Surgical
BSX,GOOG/NYSE_BSX,Boston Scientific Corporation
