Ticker, Code, Name
ACIW,GOOG/NASDAQ_ACIW,ACI Worldwide Inc
APKT,GOOG/NASDAQ_APKT,Acme Packet
ADTN,GOOG/NASDAQ_ADTN,ADTRAN
AMD,GOOG/NYSE_AMD,Advanced Micro Devices
ADVS,GOOG/NASDAQ_ADVS,Advent Software
AKAM,GOOG/NASDAQ_AKAM,Akamai Technologies
MDRX,GOOG/NASDAQ_MDRX,Allscripts Healthcare Solutions Inc
ALTR,GOOG/NASDAQ_ALTR,Altera Corporation
DOX,GOOG/NYSE_DOX,Amdocs Limited
ADI,GOOG/NASDAQ_ADI,Analog Devices
ANSS,GOOG/NASDAQ_ANSS,ANSYS
AOL,GOOG/NYSE_AOL,AOL
AAPL,GOOG/NASDAQ_AAPL,Apple Inc.
AMAT,GOOG/NASDAQ_AMAT,Applied Materials
ARBA,GOOG/NASDAQ_ARBA,Ariba
ARRS,GOOG/NASDAQ_ARRS,Arris Group
ARUN,GOOG/NASDAQ_ARUN,Aruba Networks
ATHN,GOOG/NASDAQ_ATHN,athenahealth
ATML,GOOG/NASDAQ_ATML,Atmel Corporation
ATMI,GOOG/NASDAQ_ATMI,ATMI Inc
ADSK,GOOG/NASDAQ_ADSK,Autodesk
BMC,GOOG/NASDAQ_BMC,BMC Software
CELL,GOOG/NASDAQ_CELL,Brightpoint
BRCM,GOOG/NASDAQ_BRCM,Broadcom Corporation
BRCD,GOOG/NASDAQ_BRCD,Brocade Communications Systems
CA,GOOG/NASDAQ_CA,CA
CCMP,GOOG/NASDAQ_CCMP,Cabot Microelectronics Corporation
CACI,GOOG/NYSE_CACI,CACI International Inc
CDNS,GOOG/NASDAQ_CDNS,Cadence Design Systems Inc
CAVM,GOOG/NASDAQ_CAVM,Cavium Inc
CERN,GOOG/NASDAQ_CERN,Cerner Corporation
CHKP,GOOG/NASDAQ_CHKP,Check Point Software Technologies Ltd.
CIEN,GOOG/NASDAQ_CIEN,Ciena Corporation
CSCO,GOOG/NASDAQ_CSCO,Cisco Systems
CTXS,GOOG/NASDAQ_CTXS,Citrix Systems
CTSH,GOOG/NASDAQ_CTSH,Cognizant Technology Solutions Corp
CVLT,GOOG/NASDAQ_CVLT,CommVault Systems
